Sumber Sheet,Tanggal Gabungan,Month,Product,Kategori,Hari,Bulan,Tahun,Batch,Umur,Domisili,Kota,Kota(Jabodetabek),Provinsi,Negara,Background pendidikan,Asal Sekolah,Level pendidikan,Jurusan pendidikan,Jurusan,Jurusan S2 (jika ada),Kesibukan sekarang apa,Kategori Kesibukan,Level Pekerjaan,Kategori Pekerjaan,Waktu terakhir bekerja (kalau lagi nggak kerja/intern),Kegiatan yang dilakukan waktu luang/Hobi,Alasan mengambil kategori Bootcamp,Motivasi mengikuti bootcamp,Dengar Dibimbing darimana,Channel,Mengapa memilih Dibimbing,Pernah/Tidak memiliki pengalaman di bidang yang diambil,Apakah memiliki skill bahasa inggris,Penyaluran Kerja,Blog dibimbing,Community,Pernah ikut acara dibimbing/tidak,Catatan,Pengembalian Kontrak
FE,18/Agu/2024,Agu 2024,Web Development (FE),JCJC+,18,Ags,2024,20,22,Jepang,Jepang,Jepang,Jepang,Jepang,Universitas Terbuka,Universitas Terbuka,High,Sastra Inggris,Bahasa dan Sastra Inggris,-,Sedang bekerja di Jepang dan kuliah semestser 1 secara online,Pekerja,Middle,Karyawan & Mahasiswa,-,Olahraga,Pilih reguler karena butuh ilmu dan skill terlebih dahulu selagi melanjutkan S1,Pengen bekerja di Jepang dan switch career di bidang data science. jadi sebagai motivasi jug auntuk menyelesaikan kuliah S1 agar bisa memenuhi persyaratan pekerjaan. Cuman untuk dekat dekat ini mungkin lebih nyari ke freelance dulu sebagai pengalaman,Refferal,Refferal,Karena waktunya yang lebih flexible bisa di weekend dan juga online jadi ga tabrakan sama pekerjaan,Karena waktunya yang lebih flexible bisa di weekend dan juga online jadi ga tabrakan sama pekerjaan,,Tertarik,-,-,Tidak,Refferal (rekomendasi dari teman tapi hanya tau soal dibimbing dan tidak pernah ikut bootcampnya),
DS,18/Agu/2024,Agu 2024,Data Science,JCJC+,18,Ags,2024,28+,29,Jakarta,Jakarta,Jabodetabek,DKI Jakarta,Indonesia,Universitas Mercubuana,Universitas Brawijaya (UB),High,Teknik Mesin,Teknik Mesin,-,Bekerja di perusahaan kontraktor swasta,Pekerja,Middle,Kontraktor,-,Bekeja,Pilih plus karena untuk sekarang masih bekerja dan melihat ada peluang karir di bidang data science jadi ingin mengambil peluang baru. jadi harapannya lebih mudah mencari pekerjaannya dalam switch career,"Karena ingin mendapatkan tambahan salary (kalau bisa double job), menambah wawasan juga di bidang data science",Instagram ads,Meta Ads,"Admin yang sangat responsif di luar jam kerja dan weekend, selain itu dapat informasi yang sangat detail sebelum masuk ke bootcampnya","Admin yang sangat responsif di luar jam kerja dan weekend, selain itu dapat informasi yang sangat detail sebelum masuk ke bootcampnya",,Tertarik,,-,Tidak,Instagram Ads (Muncul ads di instagram dari situ mulai cari tahu tentang dibimbing),
BI,19/Agu/2024,Agu 2024,Business Intelligence,CAJC,19,Ags,2024,13,32,Depok, Depok,Jabodetabek,Jawa Barat,Indonesia,Sekolah Tinggi Design Inter Study,Sekolah Tinggi Design Inter Study,Middle,Design Grafis,Design Grafis,-,Ibu rumah tangga dan ada bisnis kecil,Ibu Rumah Tangga,Low,Ibu Rumah Tangga,Sebagai sekretaris selama 5 tahun dan terakhir bekerja tahun 2020 ,Belajar hal baru,Pilih JC agar mudah dan dibantu untuk penyaluran kerja nya. Dan ada keinginan untuk bekerja secara remote ,Ingin kembali aktif bekerja lagi dan mencari pengalaman baru. Sehingga memilih bidang BI ini juga dari hasil riset sebelumnya. Dan dari pertimbangan juga anatar belajar PM atau BI dan dilihat peluang karir yang besar dan masih banyak dicari perusahaan itu di bdiang BI. Harapannya bisa bekerja di perusahaan luar,Instagram ,Instagram,Dibimbing jelasinnya detail banget dan setiap pertanyaan selalu terjawab. Adanya fasilitas job connector yang menarik juga ,Dibimbing jelasinnya detail banget dan setiap pertanyaan selalu terjawab. Adanya fasilitas job connector yang menarik juga ,,Tertarik,-,-,Tidak,Instagram search sendiri (emang lagi nyari program bootcamp dan ketemu salah satunya dibimbing),
FE,19/Agu/2024,Agu 2024,Web Development (FE),JCJC+,19,Ags,2024,20,28,Karawang, Karawang, Karawang,Jawa Barat,Indonesia,Binus University,Binus University,High,Sistem Informasi,Sistem Informasi,-,Job Seeker,Job seeker,Low,Job Seeker,Pernah bekerja di PT Laluasa Cipta Asia (Giza Lab) sebagai senior UI UX selama 11 bulan,Mempelajari hal-hal baru,Kenapa lebih memilih job connector reguler karena untuk kurikulumnya sudah sesuai dengan dia hanya saja semoga kedepannya frame worknya jangan dibagi dua kalau bisa dapat bennefit next JS lalu mungkin di JC + dapat bennefit lainnya jadi untuk semua framework yang populer dapat semua gitu lalu kenapa memilih reguler karena harganya lumayan dan bennefitnya ada magang dia lebih tertarik langsung ke dunia kerja profesional daripada magang dulu terus kalau di job connector + ada refund up to 100% dan maksimal umurnya di 29 tahun dan kebetulan November dia sudah 29 tahun jadi cari aman aja karena nanggung untuk usia jadi dia merasa untuk yang reguler sudah cukup,"Kenapa ikut bootcamp front end lebih ke pengen mengembangkan skill dan selama ini di dunia kerja pengalamannya sebagai UI UX designer dan untuk bacground pendidikannya sistem informasi jadi ingin balik ke track nya sebagai developer atau di dunia IT dan ingin mengembangkan career di front end developer kalau semisal tidak bisa full stack dan harapannya mendapat opportunity yang baru dengan tambahan skill yang sudah didapat goalnya dapat kesempatan kerja di bidang yang baru, sehingga untuk tujuan utamanya selain untuk mengembangkan skill untuk menunjang career",Instagram ,Instagram,"Harga affordable dan benefitnya masih oke (melihat dari harga semuanya mahal-mahal banget diatas 10 jt dan pertimbangannya memilih Dibimbing harga masih affordable dan bennefitnya masih okee untuk harga segitu, sehingga lebih memilih Dibimbing)","Harga affordable dan benefitnya masih oke (melihat dari harga semuanya mahal-mahal banget diatas 10 jt dan pertimbangannya memilih Dibimbing harga masih affordable dan bennefitnya masih okee untuk harga segitu, sehingga lebih memilih Dibimbing)",,Tertarik,-,-,Tidak,"Instagram ads (awalnya mencari-cari platform penyedia bootcamp di bidang front end lalu muncul ads terkait Dibimbing lalu dilihat harganya masih affordable di dia, sehingga lebih memilih Dibimbing)",-
ML,19/Agu/2024,Agu 2024,AI Machine Learning,CAJC,19,Ags,2024,5,31,Singapura,Singapura,Singapura,Singapura,Singapura,S1 (Universitas Pamulang) Post graduate (University of Cambridge),Universitas Pamulang,High,Hukum,Hukum,Post graduate,"Job seeker, membantu business suami dan sibuk belajar",Job seeker,Low,Job Seeker,Pernah bekerja di perusahaan Jepang sebagai japanish translator dan sempat modelling juga,Belajar bahasa,Lebih memilih job connector karena setelah graduate dari bootcamp ingin disalurkan kerja secara remote di perusahaan Singapura dan Jepang jadi lebih yakin aja kalau ambil yang job connector,"Goalnya biar dapat pekerjaan yang remote dan di luar negeri sesuai domisilinya dan bahasa inggrisnya dia okee, sehingga tujuan utamanya selain untuk mengembangkan skill sebelumnya untuk menunjang career kedepannya (ingin bekerja WFH di LN)",Google,Google Ads,Job connector (karena Dibimbing ada job connector yang bisa menyalurkan di Singapura dan Jepang dan dia pernah tinggal di Jepang dan di Singapura dan katanya bisa remote jadi ini yang menjadi pertimbangan utamanya memilih Dibimbing),Job connector (karena Dibimbing ada job connector yang bisa menyalurkan di Singapura dan Jepang dan dia pernah tinggal di Jepang dan di Singapura dan katanya bisa remote jadi ini yang menjadi pertimbangan utamanya memilih Dibimbing),,Tertarik,-,-,Tidak,Google search sendiri (dia memang lagi cari platform penyedia bootcamp untuk AI Machine Learning dan menemukan Dibimbing),-
UIUX,19/Agu/2024,Agu 2024,UI/UX,JCJC+,19,Ags,2024,27+,24,Pekanbaru, Pekanbaru, Pekanbaru,Riau,Indonesia,Universitas Islam Negeri Sultan Syarif Pekanbaru,UIN,Middle,Psikologi,Psikologi,-,Bekerja di Rumah Sakit Daerah Pekanbaru,Pekerja,Middle,Karyawan,-,Menonton film,Pilih plus karena ada keingin untuk switch career dan bg pendidikan juga jauh dari UIUX jadi pengen belajar dan cari yang pasti aja dari program plus ini yang ada penyaluran kerjanya juga,Karena ingin keluar dari zona nyaman dan sebelumnya pernah belajar phyton juga jadi dari pelajarn itu udah mulai tertarik antara data science atau UIUX dari situ mulai cari tau dan akhirnya lebih memilih UIUX,Instagram Ads,Meta Ads,"Dibimbing lebih informatif untuk progrmanya dan ngerasa semua jawaban juga terjawab, dan silabus nya kaya materi materi apa aja yang dipelajari juga udh lengkap jadi lebih milih dibimbing","Dibimbing lebih informatif untuk progrmanya dan ngerasa semua jawaban juga terjawab, dan silabus nya kaya materi materi apa aja yang dipelajari juga udh lengkap jadi lebih milih dibimbing",,Tertarik,,-,Tidak,Instagram ads (muncul ads nya terus baru mulai cari tau dan compare dengan platform lain. teru sjuga lebih banyak tau di twitter),
PMPM,19/Agu/2024,Agu 2024,Product Management,JCJC+,19,Ags,2024,11,25,Cimahi, Cimahi, Cimahi,Jawa Barat,Indonesia,Universitas Padjajaran,Universitas Padjajaran,High,Matematika,Matematika,-,Baru resign dan job seeker,Job seeker,Low,Job Seeker,"Pernah bekerja di Evermos Bandung bagian Operation, terakhir di bulan Mei 2024",Nonton film,"Ambil reguler karena faktor biaya yang lebih murah dibanding plus, silabusnya ada basic programing kalau di plus jadi ga terlalu butuh ",,Refferal,Refferal,Karena udah tau dari temen dan katanya dibimbing encourage buat kita untuk lebih ambis dan cukup stric untuk peraturan. Jadi butuh tempa bootcamp yang bener bener merhatiin studentsnya,Karena udah tau dari temen dan katanya dibimbing encourage buat kita untuk lebih ambis dan cukup stric untuk peraturan. Jadi butuh tempa bootcamp yang bener bener merhatiin studentsnya,,Tertarik,Tidak,Tidak,Tidak,Refferal (rekomendasi teman yang ikut bootcamp data science dan udh jadi alumni),
DS,20/Agu/2024,Agu 2024,Data Science,JCJC+,20,Ags,2024,28+,18,Melbourne,Melbourne,Melbourne,Australia,Australia,RMIT University,RMIT University,High,Bisnis,Bisnis,-,Kuliah S1 semester awal,Mahasiswa,Low,Mahasiswa,-,Main basket,"Lebih milih job+ karena ada program magang/internship, ada sesi 1 on 1 mentoring jadi bisa lebih memperdalam materi ",Karena untuk mempersiapkan karir ke depannya aja dan sedang mencari keteratikannya belajar di bidang apa. Menambah ilmu juga,Refferal,Refferal,Pilihan yang ditawarkan udah oke dari segala fasilitas yang ada dan juga hanya tau platform bootcamp di dibimbing saja,Pilihan yang ditawarkan udah oke dari segala fasilitas yang ada dan juga hanya tau platform bootcamp di dibimbing saja,Punya sertifikat bahasa inggris dan bisa berbahasa inggris,Belum tau,,-,Tidak,Refferal (dari Kak Agus Dibimbing.id),
HR,20/Agu/2024,Agu 2024,Human Resource,CAJC,20,Ags,2024,2,26,Bandar Lampung, Bandar Lampung, Bandar Lampung,Lampung,Indonesia,Universitas Lampung,Universitas Lampung,High,Hukum,Hukum,-,Bekerja sebagai sales di Growia selama 5 bulan,Pekerja,Middle,Karyawan Swasta,Berkarier selama 5 tahun sebagai sales,Membaca,"Kenapa lebih memilih job connector karena menurutnya bisa mempermudah untuk mendapat pekerjaan dengan disalurkan kerja setelah graduate mengikuti bootcamp di Dibimbing , sehingga memilih yang job connector","Kalau kenapanya lebih ke relate dengan jurusannya di hukum dan dari dulu pengen di HR tetapi sudah terlanjur nyemplung di sales dan dia merasa di sales sudah mendapatkan ilmu dan ngerasa stag aja dan dia ingin kerja yang lebih santai aja ngga dikejar target dan harapannya setelah mengikuti bootcamp ini mungkin setelah dapat skill-skill di HR dan dapat pekerjaan bisa sesuai dengan pendapatannya, sehingga untuk tujuan utamanya selain untuk menambah skill baru untuk menunjang career",Refferal,Refferal,"Social media, company profile dan job connector (dilihat dari hasil risetnya untuk pendampingan kursus HR Dibimbing lebih trusted dan dari company profilenya bagus dan yang dia cari di social media Dibimbing centang biru)","Social media, company profile dan job connector (dilihat dari hasil risetnya untuk pendampingan kursus HR Dibimbing lebih trusted dan dari company profilenya bagus dan yang dia cari di social media Dibimbing centang biru)",,Tertarik,-,-,Ya,Refferal (teman tidak pernah mengikuti bootcamp di Dibimbing tetapi memberi tahu kalau Dibimbing menyediakan program bootcamp HR ) dan sebelumnya pernah apply pekerjaan di Dibimbing sebagai sales dan awal tahu banget itu dikasih tahu teman terkait Dibimbing karena Dibimbing salah satu competitor dari perusahaannya sekarang jadi pernah riset juga dan Pernah ikut Digital Skill Fair digital marketing di tahun 2023,-
BE,20/Agu/2024,Agu 2024,Back End Golang,JCJC+,20,Ags,2024,1,22,Bandung, Bandung, Bandung,Jawa Barat,Indonesia,Telkom University,Universitas Telkom (Tel-U),High,Teknik Fisika,Teknik,-,Fresh graduate dan job seeker serta ada freelance UI UX baru 1 bulan,Fresh Graduate,Low,Job Seeker,-,Bermusik,Kenapa lebih memilih program reguler karena setelah diskusi dengan orang tua dan diarahkan ke reguler jadi ngikut aja sesuai rekomendasi orang tua dan ngga ada pertimbangan lain atau alasan khusus,"Ketertarikannya karena awalnya pengen belajar full stack kalau sekarang pengennya fokus ke back end dan kalau front end alurnya design dengan UI UX masih familiar tetapi kalau back end memang kompleks dan butuh mentor jadi ikut program bootcamp di back end dan harapan kedepannya bisa lebih mahir di back end dan menguasai front end serta design jadi dari hulu ke hilirnya bisa dipelajari, sehingga untuk tujuan utamanya selain untuk menambah skill baru untuk menunjang career kedepannya di back end",Referral,Refferal,Waktunya pas dengan jadwalnya dan program (awalnya ada beberapa yang jadi opsi awalnya pengen ambil full stack tetapi sekarang pengen fokus 1 aja dan kebetulan Dibimbing timelinya pas dengan jadwalnya terus hanya Dibimbing yang menyediakan program khusus back end jadi ambil Dibimbing),Waktunya pas dengan jadwalnya dan program (awalnya ada beberapa yang jadi opsi awalnya pengen ambil full stack tetapi sekarang pengen fokus 1 aja dan kebetulan Dibimbing timelinya pas dengan jadwalnya terus hanya Dibimbing yang menyediakan program khusus back end jadi ambil Dibimbing),,Tertarik,-,-,Tidak,Refferal dari content creator di Youtube (nama content creatornya lupa) dan dia merekomendasikan Dibimbing,-
BE,20/Agu/2024,Agu 2024,Back End Golang,JCJC+,20,Ags,2024,1+,23,Jakarta Selatan,Jakarta,Jabodetabek,DKI Jakarta,Indonesia,President University,President University,High,Teknik Informatika,Teknik Informatika,-,Web developer di sebuah perusahaan,Usaha,Middle,Karyawan Swasta,-,Bermain sepakbola,Milih + karena bootcamp yang ditawarkan ada materi go yang emang udah dikenal dengan perusahaan2 besar. Cuman untuk go ini harus ada pengalaman 3 tahun. Jadi milih + untuk meningkatkan karir dari fasilitas yg ditawarkan dan mengembangkan skill yang nantinya bisa disalurkan di perusahaan yang menggunakan go,"Karena gapunya waktu untuk belajar sendiri, jadi butuh bootcamp biar ada yang membantu untuk belajar dari mentor2 yang expert. Selain itu ingin mengmbangkan skill",Referral,Refferal,Ngejamin bisa mendapatkan penyaluran kerja setelah lulus bootcamp,Ngejamin bisa mendapatkan penyaluran kerja setelah lulus bootcamp,Ada basic dalam bahasa inggris tetapi tidak ada sertifikatnya dan masih dalam proses belajar bahasa,Tertarik,-,-,Tidak,Referral (dari ayahnya yang tau dibimbing) ,
DS,20/Agu/2024,Agu 2024,Data Science,JCJC+,20,Ags,2024,28+,22,Riau,,,Riau,Indonesia,Universitas Advent Indonesia,Universitas Advent Indonesia,Middle,Akuntansi,Akuntansi,-,Fresh graduate dan job seeker,Fresh Graduate,Low,Job Seeker,Pernah internship di PT KPI Pertamina sebagai finance selama 2 bulan,"Mendengar musik, membaca buku, masak dan lari","Lebih memilih job connector + karena ada magang dan menurutnya magang itu sangat perlu supaya ada pengalaman selain dari kelas bisa langsung dipraktekan di dunia nyatanya lalu karena ada jaminan atau garansi untuk bekerja jadi menurutnya lebih terbantu, sehingga lebih memilih job connector +","Alasan sederhananya pertama dengar istilah data science kayak menarik terus coba cari-cari dan sepertinya bidang ini bakal banyak diperlukan dimasa depan dan di jurusan akuntansi jadi dikemudian hari dia berpikir akan ada hubungannya antara keuangan dengan data jadi mungkin saling mendukung dikemudian hari, sehingga untuk tujuan utamanya selain untuk menambah skill baru untuk menunjang career kedepannya",Refferal,Refferal,"Internship, job connector bergaransi, testimoni dan waktu fleksibel (karena selain ada internship dan garansi kerja ada juga testimoni dari content creator yang lebih meyakinkan dan lebih ke jadwalnya bisa dibilang fleksibel seperti dia ada kendala hadir karena ibadah jadi dibantu dan bisa mempelajari ulang melalui recording)","Internship, job connector bergaransi, testimoni dan waktu fleksibel (karena selain ada internship dan garansi kerja ada juga testimoni dari content creator yang lebih meyakinkan dan lebih ke jadwalnya bisa dibilang fleksibel seperti dia ada kendala hadir karena ibadah jadi dibantu dan bisa mempelajari ulang melalui recording)",,Tertarik,,-,Tidak,Refferal content creator yang dilihat dari youtube (nama content creatornya lupa) dan dia merekomendasikan Dibimbing,-
DS,20/Agu/2024,Agu 2024,Data Science,JCJC+,20,Ags,2024,28+,23,Tangerang,Tangerang,Jabodetabek,Banten,Indonesia,Multimedia Nusantara,Multimedia Nusantara,Middle,Sistemen Informasi,Sistem Informasi,-,Mahasiswa semster akhir,Mahasiswa,Low,Mahasiswa,-,Main billiard,"Pilih JC+ karena ada fasilitas internship, lowongan data science yang terbatas jadi membutuhkan penyaluran kerja",Karena ingin mempersiapkan diri ke dunia profesional setelah lulus kuliah nantinya jadi mulai menyapkan skill dan pengalaman di bidang data science,Instagram,Instagram,"Harganya lebih affordable dibandingkan platform lain, dengan harga yang ditawarkan worth it dengan fasilitas yang ada","Harganya lebih affordable dibandingkan platform lain, dengan harga yang ditawarkan worth it dengan fasilitas yang ada",Punya sertifikat toefl tapi sudah exp namun dekat dekat ini akan test lagi untuk keperluan skripsi. Dan sudah ada basic di bahasa inggris,Tertarik,,-,Tidak,Instagram research sendiri (emang lagi nyari bootcamp dan research ke banyak platform yg menyediakan bootcamp lewat ig),
